,_id,source,content,publisher,published_at,picture,title
30,5eeabb1c13d31358e171d821,Instagram,"ژاک شیراک جمهور اسبق فرانسه(۲۰۱۹-۱۹۳۲)
 سیاستمدار‌ محبوب من به خاطر موقر و مستقل بودنش... تکنیک : اجرای دستی  باقلم‌راپید و هاشور و  مدادرنگی و پاستل در سال ۱۳۸۱...قبل از اینکه به رنگ آمیزی دیجیتال روی بیاورم و  همرنگ جماعت بشوم !
#شیراک #ژاک_شیراک  #jacques_chirac  #کاریکاتور #caricature #portrait #جواد_علیزاده #javad_alizadeh",javadalizadeh53,2019-09-28 09:10:08,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/69581645_394751131444380_1639941757476062800_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=5RhQl0XFkikAX-ltAXM&oh=7dec5c37c755b2de952844acdfcefcf3&oe=5F129C15,
31,5eeabb1c13d31358e171d822,Instagram,ژاک شیراک رییس جمهور پیشین فرانسه درگذشت. خدایش بیامرزد  #khatami #jacques_chirac #chirac,abedin_20,2019-09-28 04:54:05,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/69944897_2423257951044492_4309012155922277557_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=qa6TcdN1daEAX8Xecbu&oh=1af2ab6bd4f9955030177b7dc13ee009&oe=5F15290B,
32,5eeabb1c13d31358e171d823,Instagram,"Les vaches du salon de l'agriculture sont bien tristes...
🐄🐃🐂
#jacqueschirac #jacques_chirac #chirac",pdemeure.neverland,2019-09-27 21:06:52,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/69463737_377942089812450_5261699133338086311_n.jpg?_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=hu9vxXgSsLkAX-U4KyN&oh=bad055e268fed5130f203b8d8f78ecd0&oe=5F1392EB,
33,5eeabb1c13d31358e171d824,Instagram,"اقای ژاک شیراک(رییس جمهور اسبق فرانسه)هم به دنیا بدرود گفتند.
.
سال هشتاد و سه چند نفر از کارمندان محترم سازمان صنایع دستی بدون هماهنگی قبلی به کارگاه ما اومدن.گفتند با استاد کار داریم.پدرم تشریف نداشتند.گفتند هیات دولت سفری به فرانسه دارن، رییس جمهور( اقای خاتمی)میخوان هدیه ای به عنوان نمادی از تمدن پارس به همتای فرانسویشون اعطا کنند میخوایم استاد قربانی زحمتش رو بکشند.پدر هم علی رغم ارق خاصشون به تخت جمشید این تابلوی نفیس رو که به پادشاهی رسیدن جناب خشایارشا رو به تصویر کشیده منبت نمودند و هیات دولت اون رو به فرانسه بردند...اقای ژاک شیراک هم بسیار ازین هدیه خوششون اومده بود و گفته بودن که در کاخ اختصاصی خودشون ازش استفاده خواهند کرد.
.
چقد زود میگذره.پونزده سال گذشته از اون موقع.....
.
روح جناب ژاک شیراک و تمام مسافرین به عالم غرب از اول آفرینش تا انتهای دنیا قرین آرامش ایزدی باد...
#ژاک_شیراک#رییس_جمهور_فرانسه#خشایارشا#صفحه_میز
#Jacques_Chirac",apadana__gallery,2019-09-27 19:41:13,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/69823260_146051799966203_3503437077342385113_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Q9hojlnwZfQAX9iRbw6&oh=708c6696b04419c1d9811a688b3b5e98&oe=5F15A143,
34,5eeabb1c13d31358e171d825,Instagram,".
#‏ژاك_شيراك نخست وزير سابق فرانسه ١٩٩٥-٢٠٠٧ ، ١٢ سال سكان هدايت فرانسه را در اختيار داشت و توانست درامد سرانه و توليد ناخالص داخلي اين كشور را رشد دهد. در نمودار بالا رشد توليد ناخالص داخلي فرانسه را مشاهده ميفرماييد ١٩٦٠ الي ٢٠١٧ ‎#Jacques_Chirac
#درآمد_سرانه #درامد_سرانه #درامدسرانه #فرانسه #تولید_ناخالص_داخلی",arz_digital,2019-09-27 19:14:38,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/69797678_1250024045200506_6784898591260347773_n.jpg?_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=adRvUqLjOQwAX9Ax_YW&oh=47d064e58183962a414da32ad8f781fb&oe=5F127E9E,
35,5eeabb1c13d31358e171d826,Instagram,"It is with sadness that I read of the passing of Jacques Chirac, ex-President of France. Condolences to his family and France . #Jacques_Chirac",dr.bashayeralmajed,2019-09-27 17:24:48,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/70464098_154009195673044_7010052920254441601_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=RHOMWtUXRHQAX_eG0XF&oh=f6e633f38ebc82c4e5e09228fd30e504&oe=5F13BA19,
36,5eeabb1c13d31358e171d827,Instagram,"Jacques Chirac n'est plus. 
Un grand homme d’Etat s’en va. Jacques Chirac, grand ami et amoureux du Maroc, l’homme élégant et toujours jovial, restera dans l’histoire comme l’un des présidents les plus charismatiques de la politique française et mondiale. 
#france #Jacques_Chirac #chirac #paris #maroc #président #rabat #ministre #elysée #politique #vhmagazine #JacquesChirac #rip",vh.magazine,2019-09-27 13:51:23,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/69344879_132360164785593_3891355686364424617_n.jpg?_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=sDxszkBXL-wAX-aR-WY&oh=bc7de638c49749049d6bfe17233c322b&oe=5F15AA5A,
37,5eeabb1c13d31358e171d828,Instagram,"Le dernier des GRANDS Présidents 
#Jacques_Chirac, que ton âme rejoigne celles des GRANDS🙏🏾 #MMS",so_rafa_19,2019-09-27 10:36:17,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/70345573_402060507135890_3003676586658489251_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=grQ_hBa-A9YAX8aUgeA&oh=f939dd9af3c2825a0f815884c5874cee&oe=5F13AA26,
38,5eeabb1c13d31358e171d829,Instagram,"#Jacques_Chirac sera inhumé au cimetière du #Montparnasse auprès de sa fille Laurence

#France #Macron #AlAinFrNews",alainfrnews,2019-09-27 08:48:28,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/69857795_726384751157750_5020310252142611612_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=xr1ot1mYWRkAX9EmFAH&oh=72c91b6a6165491a3d049b0d5418ec4e&oe=5F13CEB5,
39,5eeabb1c13d31358e171d82a,Instagram,"""On oublie seulement une chose. C’est qu’une grande partie de l’argent qui est dans notre porte-monnaie vient précisément de l’exploitation, depuis des siècles, de l’Afrique. Pas uniquement. Mais beaucoup vient de l’exploitation de l'Afrique. Alors, il faut avoir un petit peu de bon sens. Je ne dis pas de générosité. De bon sens, de justice, pour rendre aux Africains, je dirais, ce qu’on leur a pris. D’autant que c’est nécessaire, si on veut éviter les pires convulsions ou difficultés, avec les conséquences politiques que ça comporte dans un proche avenir."" #Jacques_Chirac",martinducontinen,2019-09-27 07:50:44,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/67939861_2393111144150911_9058432435630977456_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=tFr_-XLw6X8AX-KLbQc&oh=363ba8b2003f882b3ae8a1e9f1a6a0de&oe=5F160494,
40,5eeabb1c13d31358e171d82b,Instagram,"🇺🇳 L'hommage d' #António_Guterres, le secrétaire des ONU à #Jacques_Chirac, le jour de son décès. 🇨🇵
En français et en anglais",francedi.ir,2019-09-26 23:12:42,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/69755718_2369417779809490_2784473451141991965_n.jpg?_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=36LxKf5bshAAX8X-I61&oh=6633105dfec9f0988b65715495e4f725&oe=5EED27F4,
41,5eeabb1c13d31358e171d82c,Instagram,"توفي اليوم الخميس 26 شتنبر 2019 الرئيس الفرنسي الأسبق جاك شراك عن عمر ناهز 86 سنة. - شراك صديق المغرب وعاشق مدينة تارودانت التي يقضي بها عطله إلى جانب مدينة أكادير . - شراك كان دائما إلى جانب القضية الفلسطينية خلال فترة حكمه. - شراك عارض الحرب الأمريكية على العراق عام 2003.

#jacques_chirac #france #taroudant #morocco",agadirtv,2019-09-26 21:32:53,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/72124096_173791353749050_7114616862313699783_n.jpg?_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=Ua1kanbXUqQAX97AjJz&oh=0a28257f65f69074cb6c9965ebc2998c&oe=5F14963A,
42,5eeabb1c13d31358e171d82d,Instagram,"Les dirigeants du monde entier saluent la mémoire de #Jacques_Chirac, ""un grand homme d'État""

#France #Macron #AlAinFrNews",alainfrnews,2019-09-26 21:28:44,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/69912331_229063838063963_5162226788672363546_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=vukof3xo_pcAX89kadD&oh=c7e01384572ca53de7643971c5d0278b&oe=5F161F9C,
43,5eeabb1c13d31358e171d82e,Instagram,"?????????????????????????????????? Dites moi, est-il ?? Mort ? Ou Décédé ? #Jacques_Chirac ??",dourahbah,2019-09-26 20:56:07,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/71705098_2768562766496627_7640325631135666641_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=MXOskUQK73IAX-PZKzd&oh=9a252dad8ed3138906c6e297abd0e5b1&oe=5EECCF7C,
44,5eeabb1c13d31358e171d82f,Instagram,"CHAQUE PAS DOIT ÊTRE UN BUT
De  #JACQUES_CHIRAC « je garde à portée de main, depuis
longtemps,
étapes de l'évolution de la Vie, de la Terre et de l'Univers (..)
celui-ci (me permet) d'apprécier sur la durée l'importance
des enjeux auxquels notre planète est confrontée ». #Memoire",rnstrnsto,2019-09-26 20:35:28,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/70596926_146373503252109_3879149865397590554_n.jpg?_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Zfe0L7uvSpQAX-tF2QY&oh=caace770566e308fe913413d537d5d7a&oe=5F126180,
